Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A2RU30	reviewed	TESP1_HUMAN	Protein TESPA1 (Thymocyte-expressed positive selection-associated protein 1)	TESPA1 KIAA0748 HSPC257	Homo sapiens (Human)	521
A2RU49	reviewed	HYKK_HUMAN	Hydroxylysine kinase, 5-hydroxy-L-lysine kinase, EC 2.7.1.81 (Aminoglycoside phosphotransferase domain-containing protein 1)	HYKK AGPHD1	Homo sapiens (Human)	373
A2RUB1	reviewed	MEIOC_HUMAN	Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein)	MEIOC C17orf104	Homo sapiens (Human)	952
A2RUB6	reviewed	CCD66_HUMAN	Coiled-coil domain-containing protein 66	CCDC66	Homo sapiens (Human)	948
A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5, hTYW5, EC 1.14.11.42 (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	315
A2RUH7	reviewed	MBPHL_HUMAN	Myosin-binding protein H-like	MYBPHL	Homo sapiens (Human)	354
A2VDJ0	reviewed	T131L_HUMAN	Transmembrane protein 131-like	TMEM131L KIAA0922	Homo sapiens (Human)	1609
A3KMH1	reviewed	VWA8_HUMAN	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2, P7BP2)	VWA8 KIAA0564	Homo sapiens (Human)	1905
A4D0S4	reviewed	LAMB4_HUMAN	Laminin subunit beta-4 (Laminin beta-1-related protein)	LAMB4	Homo sapiens (Human)	1761
A4D126	reviewed	ISPD_HUMAN	D-ribitol-5-phosphate cytidylyltransferase, EC 2.7.7.40 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein, hISPD)	CRPPA ISPD	Homo sapiens (Human)	451
A4D161	reviewed	F221A_HUMAN	Protein FAM221A	FAM221A C7orf46	Homo sapiens (Human)	298
A4D1B5	reviewed	GSAP_HUMAN	Gamma-secretase-activating protein, GSAP (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form, GSAP-16K ]	GSAP PION	Homo sapiens (Human)	854
A4D1E9	reviewed	GTPBA_HUMAN	GTP-binding protein 10 (Protein obg homolog 2, ObgH2)	GTPBP10 OBGH2 UG0751c10	Homo sapiens (Human)	387
A4D1P6	reviewed	WDR91_HUMAN	WD repeat-containing protein 91	WDR91 HSPC049	Homo sapiens (Human)	747
A4D1T9	reviewed	PRS37_HUMAN	Probable inactive serine protease 37 (Probable inactive trypsin-X2)	PRSS37 TRYX2	Homo sapiens (Human)	235
A4D256	reviewed	CC14C_HUMAN	Dual specificity protein phosphatase CDC14C, EC 3.1.3.16, EC 3.1.3.48 (CDC14 cell division cycle 14 homolog C)	CDC14C CDC14B2 CDC14Bretro	Homo sapiens (Human)	447
A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1, EC 3.1.27.- (Endoribonuclease MBLAC1)	MBLAC1	Homo sapiens (Human)	266
A4GXA9	reviewed	EME2_HUMAN	Probable crossover junction endonuclease EME2, EC 3.1.22.-	EME2	Homo sapiens (Human)	379
A4UGR9	reviewed	XIRP2_HUMAN	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	XIRP2 CMYA3	Homo sapiens (Human)	3374
A5D8T8	reviewed	CL18A_HUMAN	C-type lectin domain family 18 member A (Mannose receptor-like protein 2)	CLEC18A MRLP2	Homo sapiens (Human)	446
A5D8V6	reviewed	VP37C_HUMAN	Vacuolar protein sorting-associated protein 37C, hVps37C (ESCRT-I complex subunit VPS37C)	VPS37C PML39	Homo sapiens (Human)	355
A5D8V7	reviewed	ODAD3_HUMAN	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	ODAD3 CCDC151	Homo sapiens (Human)	595
A5D8W1	reviewed	CFA69_HUMAN	Cilia- and flagella-associated protein 69	CFAP69 C7orf63	Homo sapiens (Human)	941
A5LHX3	reviewed	PSB11_HUMAN	Proteasome subunit beta type-11, EC 3.4.25.1 (Proteasome subunit beta-5t)	PSMB11	Homo sapiens (Human)	300
A5PKW4	reviewed	PSD1_HUMAN	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6, Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	Homo sapiens (Human)	1024
A5PLL7	reviewed	PDES1_HUMAN	Plasmanylethanolamine desaturase, EC 1.14.19.77 (Plasmanylethanolamine desaturase 1) (Transmembrane protein 189)	PEDS1 KUA PDES TMEM189	Homo sapiens (Human)	270
A5PLN9	reviewed	TPC13_HUMAN	Trafficking protein particle complex subunit 13	TRAPPC13 C5orf44	Homo sapiens (Human)	417
A5X5Y0	reviewed	5HT3E_HUMAN	5-hydroxytryptamine receptor 3E, 5-HT3-E, 5-HT3E (Serotonin receptor 3E)	HTR3E	Homo sapiens (Human)	456
A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog, NOT1H, hNOT1)	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376
A5YM72	reviewed	CRNS1_HUMAN	Carnosine synthase 1, EC 6.3.2.11 (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1 KIAA1394	Homo sapiens (Human)	827
A6BM72	reviewed	MEG11_HUMAN	Multiple epidermal growth factor-like domains protein 11, Multiple EGF-like domains protein 11	MEGF11 KIAA1781 UNQ1949/PRO4432	Homo sapiens (Human)	1044
A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150, TFIIIB150) (Transcription factor-like nuclear regulator)	BDP1 KIAA1241 KIAA1689 TFNR	Homo sapiens (Human)	2624
A6H8Z2	reviewed	F221B_HUMAN	Protein FAM221B	FAM221B C9orf128	Homo sapiens (Human)	402
A6NC98	reviewed	CC88B_HUMAN	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3, HkRP3)	CCDC88B BRLZ	Homo sapiens (Human)	1476
A6NCS4	reviewed	NKX26_HUMAN	Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)	NKX2-6 NKX2F	Homo sapiens (Human)	301
A6ND01	reviewed	JUNO_HUMAN	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta, FR-delta) (IZUMO1 receptor protein JUNO)	IZUMO1R FOLR4 JUNO	Homo sapiens (Human)	250
A6ND36	reviewed	FA83G_HUMAN	Protein FAM83G (Protein associated with SMAD1)	FAM83G PAWS1	Homo sapiens (Human)	823
A6NDB9	reviewed	PALM3_HUMAN	Paralemmin-3	PALM3	Homo sapiens (Human)	673
A6NDE4	reviewed	RBY1B_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member B	RBMY1B	Homo sapiens (Human)	496
A6NDG6	reviewed	PGP_HUMAN	Glycerol-3-phosphate phosphatase, G3PP, EC 3.1.3.21 (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase, AUM, EC 3.1.3.48) (Phosphoglycolate phosphatase, PGP)	PGP	Homo sapiens (Human)	321
A6NDV4	reviewed	TMM8B_HUMAN	Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6)	TMEM8B C9orf127 NGX6	Homo sapiens (Human)	472
A6NED2	reviewed	RCCD1_HUMAN	RCC1 domain-containing protein 1	RCCD1	Homo sapiens (Human)	376
A6NEM1	reviewed	GG6L9_HUMAN	Golgin subfamily A member 6-like protein 9	GOLGA6L9 GOLGA6L20	Homo sapiens (Human)	432
A6NFA1	reviewed	TIKI2_HUMAN	Metalloprotease TIKI2, EC 3.4.-.- (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)	TRABD2B HKAT TIKI2	Homo sapiens (Human)	517
A6NFQ2	reviewed	TCAF2_HUMAN	TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)	TCAF2 FAM115C FAM139A	Homo sapiens (Human)	919
A6NFX1	reviewed	MFS2B_HUMAN	Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B, hMfsd2b)	MFSD2B	Homo sapiens (Human)	504
A6NFY7	reviewed	SDHF1_HUMAN	Succinate dehydrogenase assembly factor 1, mitochondrial, SDH assembly factor 1, SDHAF1 (LYR motif-containing protein 8)	SDHAF1 LYRM8	Homo sapiens (Human)	115
A6NGG8	reviewed	PCARE_HUMAN	Photoreceptor cilium actin regulator	PCARE C2orf71	Homo sapiens (Human)	1288
A6NGQ2	reviewed	OOEP_HUMAN	Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19, hOEP19)	OOEP C6orf156 KHDC2 OEP19	Homo sapiens (Human)	149
A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1, SMC hinge domain-containing protein 1, EC 3.6.1.-	SMCHD1 KIAA0650	Homo sapiens (Human)	2005
A6NI15	reviewed	MSGN1_HUMAN	Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1, pMsgn1)	MSGN1	Homo sapiens (Human)	193
A6NI61	reviewed	MYMK_HUMAN	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	MYMK TMEM226 TMEM8C	Homo sapiens (Human)	221
A6NI73	reviewed	LIRA5_HUMAN	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11, ILT-11) (Leukocyte immunoglobulin-like receptor 9, LIR-9) (CD antigen CD85f)	LILRA5 ILT11 LILRB7 LIR9	Homo sapiens (Human)	299
A6NIH7	reviewed	U119B_HUMAN	Protein unc-119 homolog B	UNC119B	Homo sapiens (Human)	251
A6NIX2	reviewed	WTIP_HUMAN	Wilms tumor protein 1-interacting protein, WT1-interacting protein	WTIP	Homo sapiens (Human)	430
A6NJ46	reviewed	NKX63_HUMAN	Homeobox protein Nkx-6.3	NKX6-3	Homo sapiens (Human)	265
A6NJ78	reviewed	MET15_HUMAN	12S rRNA N4-methylcytidine (m4C) methyltransferase, 12S rRNA m4C methyltransferase, EC 2.1.1.- (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	METTL15 METT5D1	Homo sapiens (Human)	407
A6NK06	reviewed	IRG1_HUMAN	Cis-aconitate decarboxylase, CAD, EC 4.1.1.6 (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	ACOD1 IRG1	Homo sapiens (Human)	481
A6NK58	reviewed	LIPT2_HUMAN	Putative lipoyltransferase 2, mitochondrial, EC 2.3.1.181 (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	LIPT2	Homo sapiens (Human)	231
A6NK89	reviewed	RASFA_HUMAN	Ras association domain-containing protein 10	RASSF10	Homo sapiens (Human)	507
A6NKB5	reviewed	PCX2_HUMAN	Pecanex-like protein 2 (Pecanex homolog protein 2)	PCNX2 KIAA0435 PCNXL2	Homo sapiens (Human)	2137
A6NL88	reviewed	SHSA7_HUMAN	Protein shisa-7 (Cystine-knot AMPAR modulating protein of 59 kDa, CKAMP59) (GABA(A) receptor auxiliary subunit Shisa7) (Protein shisa-6-like)	SHISA7	Homo sapiens (Human)	538
A6NMZ7	reviewed	CO6A6_HUMAN	Collagen alpha-6(VI) chain	COL6A6	Homo sapiens (Human)	2263
A6NNB3	reviewed	IFM5_HUMAN	Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein, BRIL) (Dispanin subfamily A member 1, DSPA1)	IFITM5	Homo sapiens (Human)	132
A6NNM8	reviewed	TTL13_HUMAN	Tubulin polyglutamylase TTLL13, EC 6.3.2.- (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)	TTLL13 TTLL13P	Homo sapiens (Human)	815
A6NNY8	reviewed	UBP27_HUMAN	Ubiquitin carboxyl-terminal hydrolase 27, EC 3.4.19.12 (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)	USP27X USP22L USP27	Homo sapiens (Human)	438
A6NNZ2	reviewed	TBB8B_HUMAN	Tubulin beta 8B	TUBB8B	Homo sapiens (Human)	444
A6PVC2	reviewed	TTLL8_HUMAN	Protein monoglycylase TTLL8, EC 6.3.2.- (Tubulin--tyrosine ligase-like protein 8)	TTLL8	Homo sapiens (Human)	850
A7E2V4	reviewed	ZSWM8_HUMAN	Zinc finger SWIM domain-containing protein 8	ZSWIM8 KIAA0913	Homo sapiens (Human)	1837
A7E2Y1	reviewed	MYH7B_HUMAN	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)	MYH7B KIAA1512	Homo sapiens (Human)	1983
A7KAX9	reviewed	RHG32_HUMAN	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087
A7MCY6	reviewed	TBKB1_HUMAN	TANK-binding kinase 1-binding protein 1, TBK1-binding protein 1	TBKBP1 KIAA0775 SINTBAD	Homo sapiens (Human)	615
A7MD48	reviewed	SRRM4_HUMAN	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa, Neural-specific SR-related protein of 100 kDa, nSR100)	SRRM4 KIAA1853	Homo sapiens (Human)	611
A7XYQ1	reviewed	SOBP_HUMAN	Sine oculis-binding protein homolog (Jackson circler protein 1)	SOBP JXC1	Homo sapiens (Human)	873
A8CG34	reviewed	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2, POM121-2) (Pore membrane protein of 121 kDa C)	POM121C	Homo sapiens (Human)	1229
A8K0Z3	reviewed	WASH1_HUMAN	WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)	WASHC1 FAM39E WASH1	Homo sapiens (Human)	465
A8K2U0	reviewed	A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	A2ML1 CPAMD9	Homo sapiens (Human)	1454
A8K4G0	reviewed	CLM7_HUMAN	CMRF35-like molecule 7, CLM-7 (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3, IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5, TREM-5) (CD antigen CD300b)	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029	Homo sapiens (Human)	201
A8K7I4	reviewed	CLCA1_HUMAN	Calcium-activated chloride channel regulator 1, EC 3.4.-.- (Calcium-activated chloride channel family member 1, hCLCA1) (Calcium-activated chloride channel protein 1, CaCC-1, hCaCC-1)	CLCA1 CACC1	Homo sapiens (Human)	914
A8K8P3	reviewed	SFI1_HUMAN	Protein SFI1 homolog, hSFI1	SFI1 KIAA0542	Homo sapiens (Human)	1242
A8K8V0	reviewed	ZN785_HUMAN	Zinc finger protein 785	ZNF785	Homo sapiens (Human)	405
A8MPY1	reviewed	GBRR3_HUMAN	Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor)	GABRR3	Homo sapiens (Human)	467
A8MQ03	reviewed	CRTP1_HUMAN	Cysteine-rich tail protein 1	CYSRT1 C9orf169	Homo sapiens (Human)	144
A8MQ27	reviewed	NEU1B_HUMAN	E3 ubiquitin-protein ligase NEURL1B, EC 2.3.2.27 (Neuralized-2, NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)	NEURL1B NEURL3	Homo sapiens (Human)	555
A8MT69	reviewed	CENPX_HUMAN	Centromere protein X, CENP-X (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)	CENPX FAAP10 MHF2 STRA13	Homo sapiens (Human)	81
A8MTA8	reviewed	F166B_HUMAN	Protein FAM166B	FAM166B	Homo sapiens (Human)	275
A8MTJ3	reviewed	GNAT3_HUMAN	Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)	GNAT3	Homo sapiens (Human)	354
A8MTQ0	reviewed	NOTO_HUMAN	Homeobox protein notochord	NOTO	Homo sapiens (Human)	251
A8MTZ0	reviewed	BBIP1_HUMAN	BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa)	BBIP1 BBIP10 NCRNA00081	Homo sapiens (Human)	92
A8MU46	reviewed	SMTL1_HUMAN	Smoothelin-like protein 1	SMTNL1	Homo sapiens (Human)	494
A8MUP2	reviewed	CSKMT_HUMAN	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial, CS-KMT, EC 2.1.1.- (Methyltransferase-like protein 12, mitochondrial)	CSKMT METTL12	Homo sapiens (Human)	240
A8MV65	reviewed	VGLL3_HUMAN	Transcription cofactor vestigial-like protein 3, Vgl-3	VGLL3	Homo sapiens (Human)	326
A8MVW5	reviewed	HECA2_HUMAN	HEPACAM family member 2 (Mitotic kinetics regulator)	HEPACAM2 MIKI UNQ305/PRO346	Homo sapiens (Human)	462
A8MW95	reviewed	BECN2_HUMAN	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)	BECN2 BECN1L1 BECN1P1	Homo sapiens (Human)	431
A8MW99	reviewed	MEI4_HUMAN	Meiosis-specific protein MEI4	MEI4	Homo sapiens (Human)	385
A8MXD5	reviewed	GRCR1_HUMAN	Glutaredoxin domain-containing cysteine-rich protein 1	GRXCR1 DFNB25	Homo sapiens (Human)	290
A8MXV4	reviewed	NUD19_HUMAN	Acyl-coenzyme A diphosphatase NUDT19, EC 3.6.1.- (Nucleoside diphosphate-linked moiety X motif 19, Nudix motif 19)	NUDT19	Homo sapiens (Human)	375
